ts_code,trade_date,etf_score,robust_z,score_rank
159662.SZ,2023-03-31,0.1019359425629508,-0.0120669556358732,0.0
159662.SZ,2023-04-03,0.6267685010028488,1.921138624637488,1.0
159662.SZ,2023-04-04,-0.3976233197768781,-0.2962827844670579,-0.0833333333333333
159662.SZ,2023-04-06,0.0897746968670429,0.2412487380067094,0.3333333333333332
159662.SZ,2023-04-07,-0.2201671756871783,-0.0220261492736744,0.0
159662.SZ,2023-04-10,-0.1191023962309168,0.0107474117378152,0.0833333333333332
159662.SZ,2023-04-11,0.8009599410448658,1.504187521897754,1.0
159662.SZ,2023-04-12,0.2155049470372631,0.7461138524435383,0.75
159662.SZ,2023-04-13,-0.6394203612963242,-0.9869953732212012,-0.5833333333333333
159662.SZ,2023-04-14,0.1915272251354579,0.4277648641795136,0.3333333333333332
