ts_code,trade_date,volatility_ratio,deviation_5d,prev_return,momentum_7d,volume_momentum_7d,momentum_21d,volatility_21d,bias_10d,loss_ratio
512290.SH,2022-08-10,-70.96830322580664,-0.012197079120526304,-0.01755786113327995,0.011503697617091246,-0.2522034978879347,,,0.0007316478335095707,0.7152777777777778
512290.SH,2022-08-11,96.96922727272752,0.007498404594766953,0.025995125913891082,0.061344537815126055,-0.0634659741389102,,,0.02532878714076952,0.09237875288683603
512290.SH,2022-08-12,19.04724285714294,0.010527994895517707,0.003167062549485289,0.058479532163742576,0.5917641957981252,,,0.024666397088556388,0.47575057736720555
512290.SH,2022-08-15,-94.44781111111102,-0.0022349936143038905,-0.013417521704814472,0.019575856443719397,-0.06817172537903704,,,0.008227133408614282,0.7321016166281755
512290.SH,2022-08-16,-79.1666666666666,-0.013937840435757482,-0.01519999999999988,-0.027646129541864073,-0.3140339166679349,,,-0.010370608569820654,0.5866050808314087
512290.SH,2022-08-17,31.815754545454517,-0.009441510641702698,0.0056864337936635145,-0.01354581673306765,0.2139634908241339,,,-0.00801282051282052,0.45496535796766746
512290.SH,2022-08-18,-100.00183076923068,-0.022265246853823695,-0.021001615508885352,-0.03272146847565838,0.27354389519531397,,,-0.027755494946253956,0.7528868360277137
512290.SH,2022-08-19,-49.994999999999955,-0.017435228939221187,-0.004950495049504955,-0.020308692120227567,0.1504985095077671,,,-0.02788973077543139,0.8198614318706697
512290.SH,2022-08-22,7.690569230769224,-0.009023789991796653,0.0016583747927032544,-0.043547110055423555,-0.18383740617907185,,,-0.02257464196132376,0.2995391705069124
512290.SH,2022-08-23,-71.42731428571422,-0.018506278916060968,-0.01655629139072845,-0.06235201262825574,-0.25859993120055036,-0.078355314197052,0.01594646356224306,-0.03367496339677883,0.6451612903225806
512290.SH,2022-08-24,-57.69110769230763,-0.020377484549858008,-0.012626262626262541,-0.06159999999999999,0.15995049314752707,-0.0828772478498826,0.01604262556251962,-0.04135338345864643,0.9147465437788018
512290.SH,2022-08-25,57.141857142856786,-0.005872483221476423,0.010230179028132946,-0.037367993501218555,0.09716163010686718,-0.05426975259377487,0.015871481637153278,-0.025333113999012946,0.4850574712643678
512290.SH,2022-08-26,-4.7625714285714,-0.003031323678006103,-0.0008438818565401629,-0.043618739903069526,0.2150732803719433,-0.04975922953451051,0.015859614073350976,-0.01946169772256735,0.49195402298850577
512290.SH,2022-08-29,-92.30646153846067,-0.007116231785835466,-0.010135135135135198,-0.03300330033003307,-0.11166929112764579,-0.03934426229508203,0.015397898765472895,-0.023089105609735816,0.3954022988505747
512290.SH,2022-08-30,-38.095580952380715,-0.009867301803334514,-0.0068259385665528916,-0.03482587064676623,-0.1165716185553286,-0.04354971240755967,0.015436720982220934,-0.024308466051969936,0.35172413793103446
512290.SH,2022-08-31,51.61401290322594,0.0025488530161426434,0.013745704467353903,-0.023178807947019875,0.45117465434049153,-0.008403361344537785,0.015075159275873306,-0.006064690026954258,0.7454128440366973
512290.SH,2022-09-01,23.807904761904865,0.006796941376380635,0.004237288135593209,-0.002525252525252486,-0.06845944486395839,-0.010025062656641603,0.015045704045158726,0.00042211903756873533,0.4105504587155963
512290.SH,2022-09-02,-26.66644999999998,0.0011908812521266314,-0.006751054852320637,0.0034100596760442414,-0.1561381883967108,-0.03996737357259372,0.013995181664807768,-0.003893026404874693,0.3180778032036613
512290.SH,2022-09-05,-46.42844642857139,-0.008517887563884165,-0.011045029736618583,-0.017721518987341867,-0.10657342695788408,-0.08056872037914697,0.011667493378794278,-0.011213047910295515,0.5560640732265446
512290.SH,2022-09-06,-54.998999999999945,-0.01604369346304824,-0.009450171821305808,-0.026182432432432345,0.11710986562185655,-0.08127490039840624,0.011684200475182897,-0.017636534037658635,0.3524027459954233
512290.SH,2022-09-07,-28.56969285714283,-0.014241592312971816,-0.003469210754553309,-0.019624573378839494,0.011476880723686023,-0.08300079808459682,0.011672341451271372,-0.019038674976521803,0.6910755148741419
512290.SH,2022-09-08,-58.82204117647015,-0.01504669664475967,-0.00870322019147085,-0.021477663230240474,-0.1316626141642142,-0.07473598700243711,0.011314544934480388,-0.023742178794891624,0.7963386727688787
512290.SH,2022-09-09,108.6952652173907,0.008840353614144555,0.02194907813871816,-0.013559322033898313,0.014028074945253488,-0.07838479809976251,0.010807937497018926,-0.0006010131364301064,0.1735159817351598
512290.SH,2022-09-13,-100.0012941176476,-0.002955493741307239,-0.014604810996563522,-0.03206751054852319,-0.06876453178077857,-0.0947119179163377,0.01092827775117459,-0.01307864395112707,0.5319634703196348
512290.SH,2022-09-14,-17.65030588235304,-0.004004875500609576,-0.0026155187445511263,-0.028037383177570208,-0.16768915039325338,-0.0848000000000001,0.010748707336588472,-0.013963109808653864,0.6735159817351598
512290.SH,2022-09-15,-20.690620689655074,-0.007327285415212809,-0.005244755244755206,-0.022336769759450203,-0.18870877189880242,-0.07554833468724631,0.010452717522929311,-0.015570934256055567,0.8972602739726028
512290.SH,2022-09-16,-91.66589999999992,-0.030361530361530522,-0.02899824253075567,-0.04163052905464015,-0.042101912095346083,-0.10743134087237483,0.011578131074141138,-0.03745644599303148,0.9337899543378996
512290.SH,2022-09-19,-18.182272727272707,-0.023070097604259116,-0.0036199095022624306,-0.04177545691906004,-0.2638264344105872,-0.09158415841584155,0.011009355040028975,-0.0345492809540513,0.815068493150685
512290.SH,2022-09-20,-41.17740000000023,-0.020064493013256874,-0.006357856494096148,-0.039508340649692664,-0.25592146127212945,-0.09286898839137636,0.011016479348162909,-0.0347626610199399,0.2374429223744292
512290.SH,2022-09-21,-100.0015454545457,-0.03527914166212034,-0.030164533820841055,-0.08848797250859108,-0.22258530385803355,-0.12168874172185429,0.012237541464969949,-0.05621775484789196,0.5795454545454546
512290.SH,2022-09-22,-70.58770588235333,-0.030499075785582384,-0.011310084825636224,-0.08544027898866613,-0.12361851292654957,-0.117003367003367,0.012065495535064547,-0.05851732184527009,0.8815489749430524
512290.SH,2022-09-23,-33.3332238095236,-0.02562184402468662,-0.006673021925643341,-0.08916083916083906,0.1567151040403023,-0.1116794543904518,0.011967572384406074,-0.05658669081032141,0.8838268792710706
512290.SH,2022-09-26,-52.631968421052285,-0.02235695339143621,-0.009596928982725572,-0.0931458699472758,0.08348564485105414,-0.12911392405063293,0.011430027483167208,-0.05433886190781628,0.8447488584474886
512290.SH,2022-09-27,94.7376000000001,0.030360531309297938,0.05232558139534893,-0.017194570135746545,0.49991543711212194,-0.08277027027027017,0.017185217464308924,0.00073719130114277,0.01366742596810934
512290.SH,2022-09-28,-44.00037600000015,0.01722180166540478,-0.010128913443830712,-0.02361489554950047,0.20854550070259625,-0.08276450511945388,0.01718510586346484,-0.0030603728090513593,0.7972665148063781
512290.SH,2022-09-29,70.73237804878062,0.0339014796778423,0.026976744186046675,0.009140767824497242,0.9703075384375512,-0.051546391752577136,0.018441083156957853,0.02707228579402747,0.3197278911564626
512290.SH,2022-09-30,10.002239999999992,0.023505459929668786,0.0018115942028984477,0.04241281809613584,0.3129971789118693,-0.06271186440677956,0.01810078296213474,0.028837209302325712,0.37188208616780044
512290.SH,2022-10-10,-55.26216315789469,-0.005681818181818369,-0.018987341772152,0.03431839847473794,0.12470130607778018,-0.08438818565400852,0.018349066403220277,0.010806782187441825,0.7732426303854876
512290.SH,2022-10-11,-51.85094444444419,-0.015805918029774033,-0.012903225806451646,0.027831094049904026,-0.22461402563617217,-0.09005947323704344,0.018443530349345334,-9.336196433571934e-05,0.7081447963800905
512290.SH,2022-10-12,21.950275609756137,-0.00844656628718314,0.008403361344538007,0.04651162790697683,0.07069757249955311,-0.0721649484536081,0.018576987107546288,0.006523765144454909,0.1489841986455982
512290.SH,2022-10-13,66.66564705882362,0.0208944281524926,0.031481481481481444,0.025782688766114115,-0.3057179111268006,-0.033824804856894986,0.02000283815651386,0.0319592403890692,0.04288939051918736
512290.SH,2022-10-14,106.93076435643567,0.09655419956927487,0.09694793536804291,0.13674418604651173,2.9505306639162323,0.06353350739773722,0.029325741051497066,0.11343963553530757,0.009029345372460496
512290.SH,2022-10-17,12.500041666666656,0.0743657042869641,0.004909983633387904,0.11231884057970998,0.645908852191841,0.07813871817383666,0.029196558496555707,0.09927490824456181,0.2144469525959368
